epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7865,1.9412,2.72062,1.97269,0.13231,0.21296,0.07357,0.01244,2.80612,14.1069,3.05138,0.000324786,0.000324786,0.0678462
2,81.4032,1.59676,1.54827,1.53155,0.34817,0.39492,0.30593,0.07026,2.53248,5.0563,2.34784,0.000658008,0.000658008,0.034846
3,110.672,1.53375,1.45672,1.48688,0.38639,0.48915,0.38856,0.17469,1.97226,10.6137,1.7558,0.00099078,0.00099078,0.00184548
4,139.663,1.5447,1.43988,1.49038,0.19879,0.28239,0.12223,0.04036,2.56503,3.47901,2.20997,0.000998474,0.000998474,0.000998474
5,167.923,1.52409,1.41162,1.47483,0.01903,0.00775,0.0006,0.00016,5.30416,9.81934,5.71709,0.000997288,0.000997288,0.000997288
6,194.47,1.49302,1.36395,1.46542,0.57383,0.47582,0.51838,0.22602,2.0224,1.6846,1.64786,0.000995765,0.000995765,0.000995765
7,222.145,1.4729,1.36335,1.44303,0.4743,0.52976,0.51164,0.27655,1.57519,1.62521,1.32973,0.000993906,0.000993906,0.000993906
8,249.912,1.48796,1.33647,1.45398,0.51711,0.57195,0.5675,0.29559,1.7235,2.37797,1.43223,0.000991711,0.000991711,0.000991711
9,277.739,1.45558,1.33692,1.42935,0.49819,0.58586,0.55816,0.25669,1.8737,1.67964,1.47236,0.000989183,0.000989183,0.000989183
10,304.814,1.48679,1.3133,1.43232,0.54107,0.57161,0.57911,0.29005,1.73063,1.91413,1.41292,0.000986323,0.000986323,0.000986323
11,332.55,1.44379,1.30198,1.42783,0.49786,0.58338,0.55692,0.28546,1.66746,1.42662,1.35756,0.000983133,0.000983133,0.000983133
12,359.748,1.44631,1.28157,1.41978,0.5515,0.51581,0.54179,0.26896,1.74889,1.5464,1.40687,0.000979616,0.000979616,0.000979616
13,386.973,1.44414,1.28192,1.42621,0.46738,0.50186,0.4817,0.25865,1.68612,1.79503,1.38704,0.000975773,0.000975773,0.000975773
14,413.592,1.4288,1.27597,1.41419,0.57628,0.55766,0.57971,0.25824,1.99959,1.48803,1.63895,0.000971608,0.000971608,0.000971608
15,440.9,1.40221,1.24141,1.3957,0.59607,0.54061,0.59253,0.30738,1.64742,1.72218,1.36619,0.000967122,0.000967122,0.000967122
16,469.416,1.40332,1.24463,1.40198,0.5933,0.5562,0.599,0.32717,1.60256,1.37278,1.34244,0.00096232,0.00096232,0.00096232
17,498.412,1.41416,1.23722,1.40273,0.53601,0.5393,0.56873,0.28705,1.67312,1.49751,1.39147,0.000957205,0.000957205,0.000957205
18,525.907,1.42027,1.26109,1.40023,0.48484,0.52883,0.50338,0.28325,1.60508,1.5925,1.35227,0.00095178,0.00095178,0.00095178
19,552.962,1.38686,1.22863,1.38451,0.56247,0.5744,0.58947,0.30081,1.65713,1.35318,1.3766,0.000946048,0.000946048,0.000946048
20,579.294,1.36547,1.19263,1.3765,0.58784,0.53348,0.5692,0.2294,2.08742,1.73456,1.64283,0.000940014,0.000940014,0.000940014
21,606.236,1.41497,1.19828,1.38695,0.47793,0.53293,0.49587,0.21591,2.00838,1.57135,1.56691,0.000933683,0.000933683,0.000933683
22,633.595,1.43069,1.24207,1.3992,0.58223,0.5763,0.61404,0.3444,1.53807,1.29814,1.30641,0.000927057,0.000927057,0.000927057
23,662.586,1.3702,1.1995,1.37688,0.56896,0.59578,0.62374,0.32981,1.61307,1.2899,1.34673,0.000920142,0.000920142,0.000920142
24,689.9,1.37595,1.21255,1.37794,0.58553,0.58308,0.60087,0.31721,1.57468,1.46943,1.33529,0.000912942,0.000912942,0.000912942
25,716.608,1.3791,1.18585,1.37129,0.5539,0.63422,0.6257,0.35042,1.53323,1.28524,1.31565,0.000905463,0.000905463,0.000905463
26,744.399,1.3728,1.1961,1.39061,0.55844,0.63918,0.63887,0.34072,1.61105,1.30664,1.33156,0.00089771,0.00089771,0.00089771
27,771.224,1.40268,1.20681,1.40542,0.57587,0.55022,0.58698,0.29783,1.70646,1.36091,1.4071,0.000889687,0.000889687,0.000889687
28,798.492,1.37612,1.2008,1.38183,0.58532,0.6057,0.62975,0.33772,1.65868,1.26199,1.35988,0.000881401,0.000881401,0.000881401
29,825.98,1.37449,1.17749,1.37152,0.54942,0.59795,0.60446,0.32869,1.65612,1.36617,1.34096,0.000872857,0.000872857,0.000872857
30,853.057,1.40429,1.18348,1.38629,0.47025,0.51891,0.4663,0.22364,1.691,1.54084,1.38143,0.00086406,0.00086406,0.00086406
31,879.799,1.37373,1.19113,1.3718,0.56422,0.57254,0.5966,0.28562,1.7872,1.3896,1.43911,0.000855018,0.000855018,0.000855018
32,906.735,1.39783,1.18618,1.37908,0.55334,0.64259,0.61838,0.31775,1.67058,1.30913,1.34792,0.000845736,0.000845736,0.000845736
33,934.188,1.35282,1.15001,1.36139,0.58052,0.61438,0.62604,0.33055,1.69454,1.37062,1.38803,0.00083622,0.00083622,0.00083622
34,961.715,1.35052,1.16187,1.36297,0.58022,0.60787,0.62816,0.32391,1.72851,1.29519,1.38656,0.000826477,0.000826477,0.000826477
35,988.263,1.34658,1.14184,1.36401,0.58084,0.59733,0.61996,0.31967,1.75224,1.31032,1.42248,0.000816514,0.000816514,0.000816514
36,1014.91,1.33751,1.14548,1.35477,0.598,0.63763,0.6571,0.35596,1.5684,1.20322,1.30754,0.000806337,0.000806337,0.000806337
37,1042.89,1.35953,1.16346,1.36843,0.55902,0.58315,0.60069,0.34142,1.50632,1.3292,1.28362,0.000795954,0.000795954,0.000795954
38,1069.95,1.35832,1.17288,1.37223,0.57278,0.62714,0.63415,0.33837,1.56367,1.31083,1.31577,0.000785371,0.000785371,0.000785371
39,1097.14,1.35302,1.16213,1.36255,0.52557,0.54929,0.56489,0.32165,1.57508,1.51272,1.32027,0.000774596,0.000774596,0.000774596
40,1123.96,1.35012,1.17735,1.36751,0.55546,0.58927,0.60072,0.32018,1.62665,1.32115,1.33738,0.000763637,0.000763637,0.000763637
41,1150.97,1.33505,1.14875,1.35472,0.59239,0.63422,0.65367,0.35393,1.59262,1.21894,1.33825,0.0007525,0.0007525,0.0007525
42,1177.43,1.31483,1.12137,1.34582,0.58485,0.60787,0.63035,0.36634,1.48045,1.24412,1.28595,0.000741194,0.000741194,0.000741194
43,1204.9,1.34817,1.1458,1.36101,0.58406,0.59423,0.62301,0.343,1.58878,1.26536,1.34166,0.000729725,0.000729725,0.000729725
44,1231.4,1.3126,1.15167,1.34056,0.6061,0.62007,0.64897,0.33451,1.6517,1.2856,1.38086,0.000718103,0.000718103,0.000718103
45,1258.14,1.30629,1.11128,1.33638,0.60993,0.62058,0.6515,0.36044,1.56194,1.25581,1.31127,0.000706335,0.000706335,0.000706335
46,1284.98,1.31111,1.10993,1.34132,0.55571,0.61562,0.61743,0.33284,1.60909,1.25773,1.32806,0.000694428,0.000694428,0.000694428
47,1312.1,1.33115,1.12544,1.35794,0.62779,0.61562,0.66501,0.37796,1.4817,1.17097,1.2787,0.000682392,0.000682392,0.000682392
